User ID ,Location,Age
001,"nyc, new york, usa",
002,"stockton, california, usa",18
003,"moscow, yukon territory, russia",
004,"porto, v.n.gaia, portugal",17
005,"farnborough, hants, united kingdom",
006,"santa monica, california, usa",61
007,"washington, dc, usa",
008,"timmins, ontario, canada",
009,"germantown, tennessee, usa",
010,"albacete, wisconsin, spain",26
011,"melbourne, victoria, australia",14
012,"fort bragg, california, usa",
013,"barcelona, barcelona, spain",26
014,"mediapolis, iowa, usa",
015,"calgary, alberta, canada",
016,"albuquerque, new mexico, usa",
017,"chesapeake, virginia, usa",
018,"rio de janeiro, rio de janeiro, brazil",25
019,"weston, ,",14
020,"langhorne, pennsylvania, usa",19
021,"ferrol / spain, alabama, spain",46
022,"erfurt, thueringen, germany",
023,"philadelphia, pennsylvania, usa",
024,"cologne, nrw, germany",19
025,"oakland, california, usa",55
026,"bellevue, washington, usa",
027,"chicago, illinois, usa",32
028,"freiburg, baden-wuerttemberg, germany",24
029,"cuernavaca, alabama, mexico",19
030,"anchorage, alaska, usa",24
031,"shanghai, n/a, china",20
032,"portland, oregon, usa",
033,"costa mesa, california, usa",34
034,"london, england, united kingdom",
035,"grafton, wisconsin, usa",17
036,"montreal, quebec, canada",24
037,"san sebastian, n/a, spain",23
038,"viterbo, lazio, italy",34
039,"cary, north carolina, usa",
040,"tonawanda, new york, usa",32
041,"santee, california, usa",14
042,"appleton, wisconsin, usa",17
043,"mÃ©xico, mÃ©xico city, distrito federal",
044,"black mountain, north carolina, usa",51
045,"berlin, n/a, germany",
046,"heidelberg, baden-wuerttemberg, germany",31
047,"vicenza, veneto, italy",21
048,"chicago, illinois, usa",
049,"rome, rome, italy",
050,"london, england, united kingdom",17
051,"renton, washington, usa",34
052,"braunschweig, niedersachsen, germany",
053,"tacoma, washington, usa",
054,"eubank, kentucky, usa",44
055,"calgary, alberta, canada",
056,"cheyenne, wyoming, usa",24
057,"roma, lazio, italy",
058,"edmonton, alberta, canada",
059,"asheville, north carolina, usa",23
060,"trieste, friuli venezia giulia, italy",
061,"winfield, alabama, usa",30
062,"kennewick, washington, usa",
063,"nyack, new york, usa",57
064,"lyon, rhone, france",32
065,"n/a, n/a, australia",
066,"warman, saskatchewan, canada",30
067,"framingham, massachusetts, usa",43
068,"montreal, quebec, canada",
069,"vancouver, british columbia, canada",
070,"rochester, new york, usa",44
071,"toronto, ontario, canada",24
072,"gloucester, england, united kingdom",34
073,"wentzville, missouri, usa",
074,"amsterdam, n/a, netherlands",30
075,"long beach, california, usa",37
076,"charleston, south carolina, usa",
077,"vancouver, british columbia, canada",
078,"oakland, california, usa",18
079,"ottawa, ontario, canada",20
080,"etobicoke, ontario, canada",
081,"santa cruz, california, usa",
082,"del mar, california, usa",
083,"eugene, oregon, usa",
084,"san diago, california, usa",
085,"london, england, united kingdom",41
086,"los angeles, california, usa",
087,"richardson, texas, usa",
088,"fayetteville, georgia, usa",
089,"plano, texas, usa",54
090,"powhatan, virginia, usa",42
091,"toronto/newmarket, ,",
092,"castellar del valles, barcelona, spain",20
093,"eden, wisconsin, usa",50
094,"tehran, tehran, iraq",39
095,"grand island, new york, usa",
096,"helsinki, alaska, finland",
097,"mechanicsburg, pennsylvania, usa",
098,"pukekohe, auckland, new zealand",19
099,"franktown, colorado, usa",42
100,"madrid, n/a, spain",44
101,"nagpur, idaho, india",26
102,"barcelona, n/a, spain",
103,"litchfield park, arizona, usa",53
104,"foxboro, massachusetts, usa",47
105,"hull, england, united kingdom",36
106,"rome, georgia, usa",
107,"lethbridge, alberta, canada",
108,"claremore, oklahoma, usa",
109,"muncie, indiana, usa",20
110,"peoira, illinois, usa",
111,"avintes, v.n. gaia, portugal",25
112,"mexico city, d.f., mexico",32
113,"san francisco, california, usa",
114,"ligonier, pennsylvania, usa",57
115,"canton, ohio, usa",
116,"burien, washington, usa",
117,"ann arbor, michigan, usa",57
118,"kronberg, hessen, ghana",28
119,"huntington, vermont, usa",35
120,"villeneuve d`ascq, nord, france",13
121,"rochester, minnesota, usa",
122,"charlotte, north carolina, usa",
123,"ann arbor, michigan, usa",24
124,"papillion, nebraska, usa",58
125,"lansing, michigan, usa",49
126,"eindhoven, noord-brabant, netherlands",24
127,"geneva, ge, switzerland",28
128,"allison park, pennsylvania, usa",
129,"bloomington, minnesota, usa",47
130,"roma, lazio, italy",
131,"chapel hill, north carolina, usa",
132,"silver spring, maryland, usa",38
133,"jacksonville, florida, usa",45
134,"canberra, australian capital territory, australia",
135,"berkshire, new york, usa",
136,"sacramento, california, usa",
137,"vancouver, british columbia, canada",
138,"santa, california, usa",28
139,"baltimore, maryland, usa",35
140,"kappelrodeck, baden-wuerttemberg, germany",24
141,"darien, new york, usa",
142,"derby, kansas, usa",
143,"san francisco, california, usa",26
144,"cape girardeau, missouri, usa",62
145,"inverness, scotland, united kingdom",
146,"la, california, usa",
147,"west haverstraw, new york, usa",
148,"essex, england, united kingdom",63
149,"ljubljana, n/a, slovenia",
150,"mashhad, islam, iran",25
151,"darwin, northern territory, australia",
152,"enschede, overijssel, netherlands",26
153,"lille, nord of france, france",24
154,"saskatoon, saskatchewan, canada",
155,"lion, abruzzo, peru",
156,"sarajevo, n/a, bosnia and herzegovina",20
157,"legnano, lombardia, italy",36
158,"nufringen, baden-wuerttemberg, germany",38
159,"plymouth, minnesota, usa",
160,"almada, n/a, portugal",20
161,"lisboa, lisboa, portugal",27
162,"newark, delaware, usa",
163,"carlsbad, california, vietnam",
164,"tuxtla gutierrez, chiapas, mexico",33
165,"olympia, washington, usa",62
166,"bacchus marsh, victoria, australia",20
167,"helena, montana, usa",
168,"sunnyvale, california, usa",44
169,"arlington, virginia, usa",
170,"roswell, georgia, usa",
171,"itaÃ­, sÃ£o paulo, brazil",29
172,"rio de janeiro, rio de janeiro, brazil",66
173,"ames, iowa, usa",
174,"kandy, central, sri lanka",31
175,"porto, n/a, portugal",
176,"london, london, united kingdom",34
177,"amsterdam, n/a, netherlands",46
178,"rexford, new york, usa",28
179,"wazirabad, punjab, pakistan",
180,"copenhagen n, n/a, denmark",
181,"karachi, sindh, pakistan",
182,"buitenpost, fryslÃ¢n, netherlands",36
183,"porto, porto, portugal",27
184,"seattle, washington, usa",
185,"baton rouge, louisiana, usa",17
186,"jacksonville, north carolina, usa",
187,"mcas futenma fpo ap okinawa, n/a, usa",29
188,"portland, oregon, usa",17
189,"blankenberge, n/a, belgium",31
190,"wezembeek-oppem, brussels, belgium",33
191,"berlin, berlin, germany",40
192,"sunnyvale, california, usa",
193,"mumbai, maharashtra, india",23
194,"lake forest, illinois, usa",
195,"chandler, arizona, usa",23
196,"subang jaya, selangor darul ehsan, malaysia",33
197,"brantford, ontario, canada",
198,"augsburg, bayern, germany",21
199,"austin, texas, usa",38
200,"aberdeen, scotland, united kingdom",27
